Presa;Demarcación;Cauce;Fase;Titular;Provincia
BARBATE;GUADALETE Y BARBATE;RÍO BARBATE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
BARBATE;GUADALETE Y BARBATE;RÍO BARBATE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
BARBATE;GUADALETE Y BARBATE;RÍO BARBATE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
BARBELLIDO;DUERO;GARGANTA BARBELLIDO;Explotación;NATURGY RENOVABLES, S.L.U;Ávila
BARCA, LA;CANTABRICO OCCIDENTAL;RÍO NARCEA;Explotación;HIDROELECTRICA DEL CANTABRICO, S.A.;Asturias
BARCENA;MIÑO-SIL;RÍO SIL;Explotación;ESTADO;León
BARCENA León;MIÑO-SIL;ARROYO DE LA REGUERA DE NARAYA;Explotación;ESTADO;
BARCENA 1;MIÑO-SIL;ARROYO DE LA REGUERA DE NARAYA;Explotación;ESTADO;León
BARCENA 2;MIÑO-SIL;ARROYO DE LA REGUERA DE NARAYA;Explotación;ESTADO;León
BARCENA 3;MIÑO-SIL;ARROYO DE LA REGUERA DE NARAYA;Explotación;ESTADO;León
BARCENA 4;MIÑO-SIL;ARROYO DE LA REGUERA DE NARAYA;Explotación;ESTADO;León
BARDENAS II;EBRO;;Explotación;COMUNIDAD DE REGANTES N11 DE BARDENAS;Zaragoza
BARONESA, LA;SEGURA;;Explotación;SEIASA;Alicante/Alacant
BARONESA, LA;SEGURA;;Explotación;SEIASA;Alicante/Alacant
BARQUERA, LA;GUADIANA;REGATO VELADA DE TORRES;Explotación;AGROPECUARIA BALDÍO DE TORRES;Cáceres
BARQUILLO, EL;DUERO;ARROYO DE CAMPOLARROYO;Explotación;SOCIEDAD COOPERATIVA RIOMON;Burgos
BARRANCA, LA;GUADALQUIVIR;;Explotación;FRANCISCO CARMONA ROJAS;Sevilla
BARRANCA, LA - PALMA DEL RIO;GUADALQUIVIR;VERTIENTE POR LA MARGEN DERECHA DEL ARROYO DE MATILLAS;Explotación;HERMANOS GARCÍA-LIÑÁN LÓPEZ;Córdoba
BARRANCO ABREU;LA PALMA;BARRANCO DE ABREU;Explotación;COMUNIDAD DE REGANTES;Santa Cruz de Tenerife
BARRANCO DE LA GRANJA;TENERIFE;BARRANCO DE LOS ERES;Explotación;COMUNIDAD DE REGANTES DE LOS HERES;Santa Cruz de Tenerife
BARRANCO DEL REY 1;GUADALQUIVIR;;Explotación;GESTION DE CAZA LINARES, S.L.;Jaén
BARRANCO DEL REY 2;GUADALQUIVIR;;Explotación;GESTION DE CAZA LINARES, S.L.;Jaén
BARRANCO DEL VALLE DE LA PARRA;GUADIANA;;Explotación;;Toledo
BARRANCO HONDO;GRAN CANARIA;BARRANCO HONDO;Explotación;GRACIANO MORALES;Palmas, Las
BARRANCO HONDO;GRAN CANARIA;BARRANCO DE CUEVAS BLANCAS;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Palmas, Las
BARRANCO HONDO;GRAN CANARIA;BARRANCO HONDO;Explotación;J. MOLINA FALCON;Palmas, Las
BARRANCO LARGO;GUADIANA;BARRANCO LARGO;Explotación;LOVERA S.A. (FINCA LA TEJA);Ciudad Real
BARRANCOS I, LOS;GUADALETE Y BARBATE;;Explotación;MICAELA ARAMBURU PICARDO;Cádiz
BARRENDIOLA;CANTABRICO ORIENTAL;BARRENDIOLA ERREKA;Explotación;CONSORCIO DE AGUAS DE GUIPUZCOA;Gipuzkoa
BARRIE DE LA MAZA;GALICIA-COSTA;RÍO TAMBRE;Explotación;NATURGY GENERACIÓN, S.L.U.;Coruña, A
BARRIGA, LA;EBRO;;Explotación;Comunidad de Regantes Losa Baja;Burgos
BARRIOS DE LUNA;DUERO;RÍO LUNA;Explotación;ESTADO;León
BARROSO;TAJO;RÍO JARTÍN;Explotación;ANDRÉS CORREONARO GARCÍA E HIJOS;Cáceres
BARRUECO DE ABAJO;TAJO;ARROYO DEL TOCÓN;Explotación;AYUNTAMIENTO DE MALPARTIDA;Cáceres
BARRUECO DE ARRIBA;TAJO;ARROYO DEL TOCÓN;Explotación;AYUNTAMIENTO DE MALPARTIDA;Cáceres
BASERCA;EBRO;RÍO NOGUERA RIBAGORÇANA;Explotación;ENDESA GENERACION S.A.;Lleida
BATANEJO, EL;JUCAR;RÍO GUADAZAÓN;Explotación;IBERDROLA GENERACION S.A.;Cuenca
BATAN, EL;TAJO;ARROYO DEL BATÁN O RÍO AULENCIA;Explotación;ESTADO;Madrid
BATAN, EL;TAJO;ARROYO DEL BATÁN O RÍO AULENCIA;Explotación;ESTADO;Madrid
BATANES, LOS;DUERO;RÍO ERESMA;Explotación;ENEL GREEN POWER ESPAÑA, S.L.;Segovia
BATISTES;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA ROMANA;Alicante/Alacant
BAUTISTA, LA;GUADALQUIVIR;ARROYO DEL TAMUJO - SEVILLA;Explotación;CAÑALTA, S.A.;Sevilla
BAYCO, RAMBLA DE;SEGURA;RAMBLA DE ORTIGOSA;Explotación;ESTADO;Albacete
BEAS;TINTO, ODIEL Y PIEDRAS;ARROYO DEL CASTAÑO;Explotación;AYUNTAMIENTO DE HUELVA;Huelva
BEATO I, ARROYO DEL;GUADIANA;;Explotación;;Ciudad Real
BECEDAS I;TAJO;RÍO BECEDAS O ARROYO DEL MAÍLLO;Explotación;AYUNTAMIENTO DE HOYO PINARES;Ávila
BECEDAS II;TAJO;RÍO BECEDAS O ARROYO DEL MAÍLLO;Explotación;AYUNTAMIENTO DE HOYO PINARES;Ávila
BECERRIL;DUERO;ARROYO DE LA NAVA;Explotación;AYUNTAMIENTO DE AVILA;Ávila
BEDIESTA;LA PALMA;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
BEJAR-NAVAMUÑO;TAJO;RÍO CUERPO DE HOMBRE;Explotación;ESTADO;Salamanca
BELCAIRE;JUCAR;RÍO BELCAIRE;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);Castellón/Castelló
BELEÑA;TAJO;RÍO SORBE;Explotación;ESTADO;Guadalajara
BELEÑA;TAJO;BARRANCO DE VALDEMAROJAL;Explotación;PAULINO MONSALVE BALLESTEROS;Guadalajara
BELEN CAGÜELA;CUENCAS MEDITERRANEAS ANDALUZAS;BARRANCO DE CERRO CAGÜELA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
BELEN FLORES;CUENCAS MEDITERRANEAS ANDALUZAS;RAMBLA DE BELÉN;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
BELEN GATO;CUENCAS MEDITERRANEAS ANDALUZAS;RAMBLA DE BELÉN;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
BELESAR;MIÑO-SIL;RÍO MIÑO;Explotación;NATURGY GENERACIÓN, S.L.U.;Lugo
BELLUS;JUCAR;RÍO ALBAIDA;Explotación;ESTADO;Valencia/Valéncia
BELMONTE;GUADALQUIVIR;;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Sevilla
BEMBEZAR;GUADALQUIVIR;RÍO BEMBÉZAR;Explotación;ESTADO;Córdoba
BEMBEZAR (DERIVACIÓN);GUADALQUIVIR;RÍO BEMBÉZAR;Explotación;ESTADO;Córdoba
BENAGEBER;JUCAR;RIO TURIA O GUADALAVIAR;Explotación;ESTADO;Valencia/Valéncia
BENAMARIAS;DUERO;ARROYO DEL SALGUIRAL;Explotación;;León
BENAMARIEL;DUERO;RÍO ESLA;Explotación;ESTADO;León
BENCHIJIGUA;LA GOMERA;BARRANCO DE LOS CASTAÑOS;Explotación;A. RODRIGUEZ LOPEZ;Santa Cruz de Tenerife
BENGOECHEA;CANTABRICO ORIENTAL;URRUSTI O ZERAIN ERREKA;Explotación;GOBIERNO VASCO;Gipuzkoa
BENIARRES;JUCAR;RÍO SERPIS;Explotación;ESTADO;Alicante/Alacant
BENIJOS, BARRANCO;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
BENINAR;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO ADRA O GRANDE O VERDE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
BENOS;EBRO;ETH GARONA;Explotación;ENDESA GENERACION S.A.;Lleida
BERCIAL, EL;GUADIANA;RIO GUADAMEZ;Explotación;AGRICOLA BERCIAL DE HORNOCHOS, S.A.;Badajoz
BERMEJALES, LOS;GUADALQUIVIR;RÍO ALHAMA;Explotación;ESTADO;Granada
BERMEJALES, LOS;GUADALQUIVIR;RÍO CACÍN;Explotación;ESTADO;Granada
BERMEJALES, LOS;GUADALQUIVIR;RÍO CACÍN;Explotación;ESTADO;Granada
BERMEO;CANTABRICO ORIENTAL;SAN ANDRES ARROA;Explotación;GOBIERNO VASCO;Bizkaia
BERMUZA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO BERMUZA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
BESANDINO;DUERO;RÍO GRANDE;Explotación;IBERDROLA GENERACION S.A.;León
BETIES I;JUCAR;;Explotación;S.A.T. LA ROMANA;Alicante/Alacant
BETIES II;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA ROMANA;Alicante/Alacant
BEZNAR;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO ÍZBOR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Granada
BIGASTRO;SEGURA;;Explotación;COMUNIDAD DE REGANTES DE LA ARROBA;Alicante/Alacant
BILAIRE;JUCAR;;Explotación;SEIASA;Alicante/Alacant
BINACED;EBRO;;Explotación;COMUNIDAD DE REGANTES DE ALFANTEGA;Huesca
BIRUETA;CANTABRICO ORIENTAL;RÍO URUMEA;Explotación;ACCIONA ENERGÍA, S.A.;Navarra
BIZARRON, EL;GUADALQUIVIR;ARROYO DEL PEINADO - SEVILLA;Explotación;A.R.Q. 2000 S.L.;Sevilla
BOALO, EL;TAJO;ARROYO DE LA GARGANTILLA;Explotación;AYUNTAMIENTO DE EL BOALO;Madrid
BOCOS;DUERO;RÍO DUERO;Explotación;IBERICA DE ENERGIAS, S.L.;Valladolid
BODON DE LA IBIENZA;DUERO;RÍO CEGA O ARROYO DEL ARTIÑUELO;Explotación;JUAN FRUTOS GARCIA S.A.;Segovia
BOI;EBRO;LA NOGUERA DE TOR;Explotación;ENDESA GENERACION S.A.;Lleida
BOLARQUE;TAJO;RÍO TAJO;Explotación;NATURGY GENERACIÓN, S.L.U.;Guadalajara
BOLASO;EBRO;VERTIENTE POR LA MARGEN DERECHA DEL RÍO ARBA DE LUESIA;Explotación;AYUNTAMIENTO DE EJEA DE LOS CABALLEROS;Zaragoza
BOLERA, LA;GUADALQUIVIR;RÍO GUADALENTÍN;Explotación;ESTADO;Jaén
BOLIVAR;CANTABRICO ORIENTAL;URKULU ERREKA;Explotación;CONSORCIO DE AGUAS DE GUIPUZCOA;Gipuzkoa
BOQUERA, LA;JUCAR;;Explotación;SEIASA;Alicante/Alacant
BOQUERON;GUADIANA;REGATO DEL ROSAL;Explotación;ESTADO;Badajoz
BOQUERON, EL;TAJO;ARROYO DEL BOQUERÓN DEL RIVERO;Explotación;AYUNTAMIENTO DE RIOLOBOS;Cáceres
BOQUERON, RAMBLA DEL;SEGURA;RAMBLA DEL BOQUERON;Explotación;ESTADO;Albacete
BORBOLLON;TAJO;RÍO ARRAGO;Explotación;ESTADO;Cáceres
BORBOLLON;TAJO;RÍO ARRAGO;Explotación;ESTADO;Cáceres
BORBOLLON;TAJO;ARROYO DEL CAMPANILLO;Explotación;ESTADO;Cáceres
BORBOLLON, DERIVACION;TAJO;RÍO ARRAGO;Explotación;ESTADO;Cáceres
BOREN;EBRO;LA NOGUERA PALLARESA;Explotación;ENDESA GENERACION S.A.;Lleida
BORNOS;GUADALETE Y BARBATE;RÍO GUADALETE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
BORRELL;JUCAR;;Explotación;COMUNIDAD GENERAL DE USUARIOS ALTO VINALOPÓ;Valencia/Valéncia
BORRELL-PONTARRO;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE BORRELL-PONTARRÓ;Alicante/Alacant
BOSQUE, EL;JUCAR;RÍO JÚCAR;Explotación;IBERDROLA ENERGÍAS RENOVABLES, S.A. (IBERRENOVA);Albacete
BOSSOST;EBRO;ETH GARONA;Explotación;ENDESA GENERACION S.A.;Lleida
BOTICARIA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE PINOSO;Alicante/Alacant
BOYERIL 2, EL;TAJO;ARROYO DEL MANCO;Explotación;MARIANO LOPEZ RODRIGUEZ;Cáceres
BRAMATUERO ALTO;EBRO;;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
BRAMATUERO BAJO;EBRO;;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
BRANDARIZ;GALICIA-COSTA;RÍO ULLA;Explotación;NATURGY RENOVABLES, S.L.U;Coruña, A
BRAZATO;EBRO;BARRANCO DEL BRAZATO;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
BRAZATO;EBRO;BARRANCO DEL BRAZATO;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
BREMUDO;TAJO;ARROYO DE TALAVÁN;Explotación;BALTASAR TAPIA VICENTE;Cáceres
BREMUDO;TAJO;ARROYO DE TALAVÁN;Explotación;BALTASAR TAPIA VICENTE;Cáceres
BRILLANTE, EL;GUADIANA;BARRANCO DEL CABELLUELO;Explotación;EL AYUNTAMIENTO DE ANCHURAS;Ciudad Real
BROVALES;GUADIANA;ARROYO DE BROVALES;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Badajoz
BROZAS I;TAJO;ARROYO DEL NOQUE;Explotación;AYUNTAMIENTO DE BROZAS;Cáceres
BROZAS II;TAJO;ARROYO DEL PATO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
BUBAL;EBRO;RÍO GÁLLEGO;Explotación;ESTADO;Huesca
BUBONES;DUERO;RÍO DUERO;Explotación;PARTICULAR;Soria
BUENAMESON;TAJO;RÍO TAJO;Explotación;NATURGY GENERACIÓN, S.L.U.;Madrid
BUENAS HIERBAS;GUADIANA;ARROYO DE VEREDAS;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Córdoba
BUENDIA;TAJO;RÍO GUADIELA;Explotación;ESTADO;Cuenca
BUEN PASO;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
BUITRE, EL;GUADIANA;;Explotación;ALFONSO CORTINA ALCOCER;Ciudad Real
BUITRERA, LA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADIARO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
BUJEDA, LA;TAJO;BARRANCO DE LOS BURGUEÑOS;Explotación;ESTADO;Guadalajara
BUJEDA, LA;TAJO;SIN NOMBRE;Explotación;ESTADO;Guadalajara
BUJEDA, LA;TAJO;SIN NOMBRE;Explotación;ESTADO;Guadalajara
BUJIOSO, EL;JUCAR;RÍO CABRIEL;Explotación;IBERDROLA GENERACION S.A.;Cuenca
BULLAS;SEGURA;;Explotación;;Murcia
BURGOHONDO;TAJO;;Explotación;AYUNTAMIENTO DE BURGOHONDO;Ávila
BURGOMILLODO;DUERO;RÍO DURATÓN;Explotación;NATURGY GENERACIÓN, S.L.U.;Segovia
BURGUILLO, EL;TAJO;RÍO ALBERCHE;Explotación;ESTADO;Ávila
BURGUILLOS DEL CERRO;GUADIANA;RIVERA DE LOS MONTES;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Badajoz
BURGUILLOS, RIO;DUERO;RÍO BURGUILLO O DE LOS GATOS;Explotación;JUNTA DE CASTILLA Y LEON;Salamanca
BUSEO;JUCAR;RIO REATILLO;Explotación;GENERALITAT VALENCIANA. C. AGRICULTURA, PESCA Y ALIMENTACION;Valencia/Valéncia
BUSTAMANTE;TAJO;RÍO TOZO;Explotación;PARTICULAR;Cáceres
CABALLAR I;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
CABALLAR II;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
CABANELAS;MIÑO-SIL;RÍO ARANTEIRO;Explotación;NATURGY RENOVABLES, S.L.U;Ourense
CABEZAS RUBIAS;GUADIANA;RIVERA DE LOS MOLINOS;Explotación;DIPUTACION DE HUELVA;Huelva
CABEZAS RUBIAS;GUADIANA;RIVERA DE AGUAS DE MIEL;Explotación;DIEGO ROMERO PEREZ;Huelva
CABEZO DE LOS LEONES;SEGURA;;Explotación;ESTADO;Murcia
CABEZOS, LOS;JUCAR;;Explotación;COMUNIDAD GENERAL DE USUARIOS ALTO VINALOPÓ;Alicante/Alacant
CABO;MIÑO-SIL;RÍO DEVA;Explotación;HIDROMEDIA DE GALICIA S.L;Pontevedra
CABO VERDE;GRAN CANARIA;BARRANCO DE LOMO BLANCO;Explotación;CDAD. EMBALSES MOYA;Palmas, Las
CABRIANA;EBRO;RÍO EBRO;Explotación;IBERDROLA GENERACION S.A.;Burgos
CABRIL, EL;GUADALQUIVIR;RÍO BEMBÉZAR;Explotación;ENRESA;Córdoba
CACHAMUIÑA;MIÑO-SIL;RÍO LONIA;Explotación;AYUNTAMIENTO DE OURENSE. AQUAGEST;Ourense
CACHARES;JUCAR;;Explotación;SEIASA;Alicante/Alacant
CADOS;MIÑO-SIL;RÍO DO FOXO O DOS COCHOS;Explotación;CADOS 99, S.A;Ourense
CAIDERILLOS, LOS;GRAN CANARIA;BARRANCO DE CAIDERILLOS;Explotación;J. GONZALEZ ROMERO;Palmas, Las
CAIDERO DE LA NIÑA;GRAN CANARIA;BARRANCO DE LA ALDEA;Explotación;COMUNIDAD DE REGANTES DE ALDEA S. NICOLAS;Palmas, Las
CAIN;CANTABRICO OCCIDENTAL;RÍO CARES;Explotación;E.ON GENERACION;León
CAJIL;GUADALQUIVIR;RÍO CUBILLAS;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Granada
CALA;GUADALQUIVIR;RIVERA DE CALA;Explotación;ENDESA GENERACION S.A.;Sevilla
CALABAZAL;TINTO, ODIEL Y PIEDRAS;ARROYO DEL CALABAZAR;Explotación;U. ESPAÑOLA EXPLOSIVOS RIOTINTO;Huelva
CALABOZO;GRAN CANARIA;BARRANCO DEL CALABOZO;Explotación;F. HERNANDEZ SUAREZ;Palmas, Las
CALANDA;EBRO;RÍO GUADALOPE;Explotación;ESTADO;Teruel
CALDAS DE BESAYA;CANTABRICO OCCIDENTAL;RÍO BESAYA;Explotación;NUESTRA SEÑORA DE LAS CALDAS, S.A;Cantabria
CALDAS DE REIS;GALICIA-COSTA;RÍO UMIA;Explotación;XUNTA DE GALICIA;Pontevedra
CALDERA VALLE MOLINA;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
CALERA BAJA;TAJO;ARROYO DE ZAMARRÓN;Explotación;CALERA BAJA;Toledo
CALLEJA;GUADALQUIVIR;CAÑADA LUENGA;Explotación;IGNACIO YBARRA MENDARO;Sevilla
CALLEJON, EL;GRAN CANARIA;BARRANCO DEL CALLEJÓN;Explotación;SDAD. REPRESAS TRAPICHE;Palmas, Las
CALONGE ALTO;GUADALQUIVIR;;Explotación;MARTIN LOPEZ CRESPO;Córdoba
CALZADILLA;TAJO;ARROYO LAS PEDRERAS;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
CALZADILLA;TAJO;SIN NOMBRE;Explotación;ESTADO;Cáceres
CAMARASA;EBRO;LA NOGUERA PALLARESA;Explotación;ENDESA GENERACION S.A.;Lleida
CAMARILLAS;SEGURA;RIO MUNDO;Explotación;ESTADO;Albacete
CAMEIJA;MIÑO-SIL;RÍO VIÑAO;Explotación;NATURGY GENERACIÓN, S.L.U.;Ourense
CAMINO ERENTXUN;EBRO;;Explotación;AUTONOMIA PAIS VASCO;Araba/Álava
CAMINOMORISCO;TAJO;ARROYO DE ALAVEA;Explotación;AYUNTAMIENTO DE CAMINOMORISCO;Cáceres
CAMPANA I, LA;GUADIANA;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DEL OVEJUELO;Explotación;DOMINGO HIGUERA COLETO;Córdoba
CAMPANA, LA;GUADIANA;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE LA CIGÜEÑUELA;Explotación;HERMANOS MEDINA MEDINA;Córdoba
CAMPAÑANA, LA;MIÑO-SIL;ARROYO DE BALÉN;Explotación;ENDESA GENERACION S.A.;León
CAMPAÑANA, LA León;MIÑO-SIL;VERTIENTE POR LA MARGEN DERECHA DEL ARROYO DE LOS ÁLAMOS;Explotación;ENDESA GENERACION S.A.;
CAMPAÑANA, LA León;MIÑO-SIL;VERTIENTE POR LA MARGEN DERECHA DEL ARROYO DE LOS ÁLAMOS;Explotación;ENDESA GENERACION S.A.;
CAMPANARIO;TINTO, ODIEL Y PIEDRAS;ARROYO DEL PAJARRÓN;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Huelva
CAMPANICHE;GUADALQUIVIR;;Explotación;AGRICOLA DAVIAL, S.A.;Sevilla
CAMPILLO DE BUITRAGO;DUERO;RÍO DUERO;Explotación;ESTADO;Soria
CAMPO;EBRO;RÍO ÉSERA;Explotación;ACCIONA SALTOS DE AGUA, SL.;Huesca
CAMPOAMENO;GUADIANA;ARROYO AGUA DE LA MORA;Explotación;JAIME JUAN LASALA PALA;Badajoz
CAMPO DE MIRRA;JUCAR;;Explotación;SEIASA;Alicante/Alacant
CAMPOFRIO;TINTO, ODIEL Y PIEDRAS;ARROYO DEL DIQUE;Explotación;MINAS RIOTINTO;Huelva
CAMPOMANES;GUADIANA;ARROYO DE LOS PIÑONES;Explotación;CAMPOMANES Y RINCON SL;Badajoz
CAMPON;GUADIANA;RIVERA DE ZAPATON O VEGAMORENA;Explotación;LA BARQUERA S.A.;Cáceres
CAMPO REDONDO;EBRO;;Explotación;PAGO DEL MAESTRAZGO, S.L.;Huesca
CAMPORREDONDO;DUERO;RÍO CARRIÓN;Explotación;ESTADO;Palencia
CAMPOS DEL PARAISO;GUADIANA;RIO DE VALDEJUDIOS;Explotación;ESTADO;Cuenca
CAMPOTEJAR;SEGURA;;Explotación;ESTADO;Murcia
CANACHAL I;GUADIANA;ARROYO TRIBUTARIO DEL ARROYO DEL POZO DE LOS MACHOS;Explotación;RUFINO BALMASEDA;Toledo
CAÑADA DE LAS PIEDRAS;GUADALQUIVIR;ARROYO CAÑADA DE LAS PIEDRAS;Explotación;CESAR MARTINEZ CONRADI;Sevilla
CAÑADA LA MURTA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA MURTA;Alicante/Alacant
CAÑADAS, LAS;GUADIANA;RIVERA ATARJA;Explotación;MIBAM S.A.;Badajoz
CANALADA;EBRO;RIU DE CERTASCAN;Explotación;ENDESA GENERACION S.A.;Lleida
CANAL DE LA SAGRA;TAJO;;Explotación;ESTADO;Toledo
CANAL DE LA SAGRA Toledo;TAJO;;Explotación;ESTADO;
CANALES;GUADALQUIVIR;RÍO GENIL;Explotación;ESTADO;Granada
CANALES;GUADALQUIVIR;RÍO GENIL;Explotación;ESTADO;Granada
CANALETA;JUCAR;;Explotación;BONNY S.A.;Alicante/Alacant
CANALILLO MOCLEN;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE VIRGEN DE LA PAZ DE AGOST;Alicante/Alacant
CANAL ROYA;EBRO;RÍO DE LA CANAL ROYA;Explotación;ACCIONA ENERGÍA, S.A.;Huesca
CAÑAS;EBRO;ARROYO PERIZUELAS;Explotación;COMUNIDAD AUTONOMA DE NAVARRA;Navarra
CAÑAVERAL;TAJO;ARROYO DE PIZARROSO;Explotación;AYUNTAMIENTO DE CAÑAVERAL;Cáceres
CAÑAVEROSA;SEGURA;RIO SEGURA;Explotación;IBERDROLA GENERACION S.A.;Murcia
CANCELADA;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO TARAJE;Explotación;COMUNIDAD DE REGANTES DE GUADALMANSA;Málaga
CANCHALES, LOS;GUADIANA;RIO LACARA;Explotación;ESTADO;Badajoz
CANCHALES, LOS 1;GUADALETE Y BARBATE;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE LA CAÑADA;Explotación;GONZALO OLIETE SANCHEZ DE ALVA;Cádiz
CANCHO DEL FRESNO;GUADIANA;RIO RUECAS;Explotación;ESTADO;Cáceres
CANDASNOS;EBRO;;Explotación;ESTADO;Huesca
CANDELA;JUCAR;;Explotación;COMUNIDAD GENERAL DE USUARIOS ALTO VINALOPÓ;Alicante/Alacant
CANDELARIA;GRAN CANARIA;BARRANCO DEL SILO;Explotación;CABILDO DE GRAN CANARIA;Palmas, Las
CANDONCILLO;TINTO, ODIEL Y PIEDRAS;ARROYO DE CANDONCILLO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Huelva
CANELLES;EBRO;RÍO NOGUERA RIBAGORÇANA;Explotación;ENDESA GENERACION S.A.;Huesca
CANFRANC;EBRO;RÍO ARAGÓN;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
CANTA EL GALLO;GUADIANA;ARROYO DEL VALLEHERMOSO;Explotación;JUAN LUIS GÓMEZ MARTÍN;Badajoz
CANTALEJO;GUADIANA;ARROYO DE LA VIRGEN O CANTALEJO;Explotación;AYUNTAMIENTO DE POZUELO CALATRAVA;Ciudad Real
CANTERAS, LAS;EBRO;DE SANTA ISABEL ERREKA;Explotación;COMUNIDAD DE REGANTES DE ROTALDE;Araba/Álava
CANTILLANA;GUADALQUIVIR;RÍO GUADALQUIVIR;Explotación;ENDESA GENERACIÓN, S.A.- U.P.H. SUR;Sevilla
CAPALLAR;TAJO;ARROYO DE CAMPALLAR;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
CARANTOÑA;GALICIA-COSTA;RÍO GRANDE;Explotación;CARBUROS METALICOS;Coruña, A
CARBAJALES, LOS;TAJO;ARROYO DEL CHORRO;Explotación;D. FERMIN AGUILERA JIMENEZ Y DÑA. ESPERANZA ZARAPUZ SANCHEZ;Toledo
CARBONELL;GUADALQUIVIR;RÍO GUADALQUIVIR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Córdoba
