,fecha,comunidad_autonoma,tmed,tmax,velmedia,sol,generation,inst_Solar_térmica
783,2015-02-13,COMUNITAT VALENCIANA,10.288,16.033,2.211,4.0,126.695,49.9
784,2015-02-13,EXTREMADURA,8.014,14.444,2.96,4.0,3346.23,849.0
791,2015-02-13,REGION DE MURCIA,10.73,17.08,2.178,4.0,29.811,31.4
792,2015-02-14,ANDALUCIA,11.172,14.967,4.139,2.0,117.611,1000.02
797,2015-02-14,CASTILLA-LA MANCHA,8.307,11.233,4.517,1.0,46.263,349.4
798,2015-02-14,CATALUNA,7.704,13.179,2.475,2.0,9.122,24.29
801,2015-02-14,COMUNITAT VALENCIANA,11.13,15.548,3.486,2.0,5.538,49.9
802,2015-02-14,EXTREMADURA,10.523,12.529,5.254,1.0,146.281,849.0
809,2015-02-14,REGION DE MURCIA,12.39,18.52,3.278,3.0,1.303,31.4
810,2015-02-15,ANDALUCIA,11.284,13.745,4.921,1.0,428.263,1000.02
815,2015-02-15,CASTILLA-LA MANCHA,9.23,12.366,3.731,2.0,168.458,349.4
816,2015-02-15,CATALUNA,8.36,13.314,2.035,2.0,33.217,24.29
819,2015-02-15,COMUNITAT VALENCIANA,13.53,18.363,3.714,3.0,20.168,49.9
820,2015-02-15,EXTREMADURA,10.753,14.506,4.752,3.0,532.659,849.0
827,2015-02-15,REGION DE MURCIA,14.62,19.77,3.533,4.0,4.745,31.4
828,2015-02-16,ANDALUCIA,9.87,12.941,2.806,2.0,412.693,1000.02
833,2015-02-16,CASTILLA-LA MANCHA,8.051,11.608,2.535,2.0,162.333,349.4
834,2015-02-16,CATALUNA,8.194,14.427,2.252,4.0,32.009,24.29
837,2015-02-16,COMUNITAT VALENCIANA,12.827,17.663,3.703,4.0,19.434,49.9
838,2015-02-16,EXTREMADURA,9.32,13.502,2.644,3.0,513.294,849.0
845,2015-02-16,REGION DE MURCIA,14.6,19.85,3.044,4.0,4.573,31.4
846,2015-02-17,ANDALUCIA,9.222,12.661,4.476,1.0,613.039,1000.02
851,2015-02-17,CASTILLA-LA MANCHA,6.393,9.835,4.891,2.0,241.14,349.4
852,2015-02-17,CATALUNA,8.658,12.85,2.517,1.0,47.549,24.29
855,2015-02-17,COMUNITAT VALENCIANA,9.851,12.018,4.153,1.0,28.869,49.9
856,2015-02-17,EXTREMADURA,9.71,14.17,5.716,4.0,762.478,849.0
863,2015-02-17,REGION DE MURCIA,11.24,13.64,4.278,1.0,6.793,31.4
864,2015-02-18,ANDALUCIA,11.05,15.596,3.918,4.0,3668.979,1000.02
869,2015-02-18,CASTILLA-LA MANCHA,5.831,10.657,2.843,3.0,1443.2,349.4
870,2015-02-18,CATALUNA,8.802,14.283,2.523,4.0,284.575,24.29
873,2015-02-18,COMUNITAT VALENCIANA,9.854,13.189,3.961,2.0,172.777,49.9
874,2015-02-18,EXTREMADURA,8.912,14.414,3.382,4.0,4563.357,849.0
881,2015-02-18,REGION DE MURCIA,10.744,12.84,4.822,1.0,40.654,31.4
882,2015-02-19,ANDALUCIA,10.969,15.995,3.349,4.0,4803.831,1000.02
887,2015-02-19,CASTILLA-LA MANCHA,5.863,11.5,2.373,4.0,1889.595,349.4
888,2015-02-19,CATALUNA,7.529,14.075,1.648,4.0,372.596,24.29
891,2015-02-19,COMUNITAT VALENCIANA,8.956,13.218,2.992,3.0,226.219,49.9
892,2015-02-19,EXTREMADURA,9.204,14.746,3.172,5.0,5974.847,849.0
899,2015-02-19,REGION DE MURCIA,11.744,14.38,4.15,3.0,53.228,31.4
900,2015-02-20,ANDALUCIA,9.936,15.803,1.989,4.0,2095.166,1000.02
905,2015-02-20,CASTILLA-LA MANCHA,5.403,12.28,1.436,4.0,824.137,349.4
906,2015-02-20,CATALUNA,6.821,13.317,2.25,4.0,162.506,24.29
909,2015-02-20,COMUNITAT VALENCIANA,8.694,14.505,2.381,5.0,98.664,49.9
910,2015-02-20,EXTREMADURA,7.555,13.46,1.675,2.0,2605.899,849.0
917,2015-02-20,REGION DE MURCIA,10.96,15.36,2.122,3.0,23.215,31.4
918,2015-02-21,ANDALUCIA,10.054,14.025,3.086,2.0,2173.215,1000.02
923,2015-02-21,CASTILLA-LA MANCHA,6.959,11.574,3.327,2.0,854.838,349.4
