,comunidad_autonoma,type,month,value
305,Principado de Asturias,Solar fotovoltaica,2015-06-01T00:00:00.000+02:00,0.79
306,Principado de Asturias,Solar fotovoltaica,2015-07-01T00:00:00.000+02:00,0.79
307,Principado de Asturias,Solar fotovoltaica,2015-08-01T00:00:00.000+02:00,0.79
308,Principado de Asturias,Solar fotovoltaica,2015-09-01T00:00:00.000+02:00,0.79
309,Principado de Asturias,Solar fotovoltaica,2015-10-01T00:00:00.000+02:00,0.79
310,Principado de Asturias,Solar fotovoltaica,2015-11-01T00:00:00.000+01:00,0.79
311,Principado de Asturias,Solar fotovoltaica,2015-12-01T00:00:00.000+01:00,0.79
312,Principado de Asturias,Otras renovables,2015-01-01T00:00:00.000+01:00,90.459
313,Principado de Asturias,Otras renovables,2015-02-01T00:00:00.000+01:00,90.459
314,Principado de Asturias,Otras renovables,2015-03-01T00:00:00.000+01:00,90.459
315,Principado de Asturias,Otras renovables,2015-04-01T00:00:00.000+02:00,90.459
316,Principado de Asturias,Otras renovables,2015-05-01T00:00:00.000+02:00,90.459
317,Principado de Asturias,Otras renovables,2015-06-01T00:00:00.000+02:00,90.459
318,Principado de Asturias,Otras renovables,2015-07-01T00:00:00.000+02:00,90.459
319,Principado de Asturias,Otras renovables,2015-08-01T00:00:00.000+02:00,90.459
320,Principado de Asturias,Otras renovables,2015-09-01T00:00:00.000+02:00,90.459
321,Principado de Asturias,Otras renovables,2015-10-01T00:00:00.000+02:00,90.459
322,Principado de Asturias,Otras renovables,2015-11-01T00:00:00.000+01:00,90.459
323,Principado de Asturias,Otras renovables,2015-12-01T00:00:00.000+01:00,90.459
324,Principado de Asturias,Cogeneración,2015-01-01T00:00:00.000+01:00,76.212
325,Principado de Asturias,Cogeneración,2015-02-01T00:00:00.000+01:00,76.212
326,Principado de Asturias,Cogeneración,2015-03-01T00:00:00.000+01:00,76.212
327,Principado de Asturias,Cogeneración,2015-04-01T00:00:00.000+02:00,76.212
328,Principado de Asturias,Cogeneración,2015-05-01T00:00:00.000+02:00,76.212
329,Principado de Asturias,Cogeneración,2015-06-01T00:00:00.000+02:00,76.212
330,Principado de Asturias,Cogeneración,2015-07-01T00:00:00.000+02:00,76.212
331,Principado de Asturias,Cogeneración,2015-08-01T00:00:00.000+02:00,76.212
332,Principado de Asturias,Cogeneración,2015-09-01T00:00:00.000+02:00,76.212
333,Principado de Asturias,Cogeneración,2015-10-01T00:00:00.000+02:00,76.212
334,Principado de Asturias,Cogeneración,2015-11-01T00:00:00.000+01:00,76.212
335,Principado de Asturias,Cogeneración,2015-12-01T00:00:00.000+01:00,76.212
336,Principado de Asturias,Residuos no renovables,2015-01-01T00:00:00.000+01:00,73.388
337,Principado de Asturias,Residuos no renovables,2015-02-01T00:00:00.000+01:00,73.388
338,Principado de Asturias,Residuos no renovables,2015-03-01T00:00:00.000+01:00,73.388
339,Principado de Asturias,Residuos no renovables,2015-04-01T00:00:00.000+02:00,73.388
340,Principado de Asturias,Residuos no renovables,2015-05-01T00:00:00.000+02:00,73.388
341,Principado de Asturias,Residuos no renovables,2015-06-01T00:00:00.000+02:00,73.388
342,Principado de Asturias,Residuos no renovables,2015-07-01T00:00:00.000+02:00,73.388
343,Principado de Asturias,Residuos no renovables,2015-08-01T00:00:00.000+02:00,73.388
344,Principado de Asturias,Residuos no renovables,2015-09-01T00:00:00.000+02:00,73.388
345,Principado de Asturias,Residuos no renovables,2015-10-01T00:00:00.000+02:00,73.388
346,Principado de Asturias,Residuos no renovables,2015-11-01T00:00:00.000+01:00,73.388
347,Principado de Asturias,Residuos no renovables,2015-12-01T00:00:00.000+01:00,73.388
348,Principado de Asturias,Potencia total,2015-01-01T00:00:00.000+01:00,4809.051
349,Principado de Asturias,Potencia total,2015-02-01T00:00:00.000+01:00,4809.051
350,Principado de Asturias,Potencia total,2015-03-01T00:00:00.000+01:00,4809.051
351,Principado de Asturias,Potencia total,2015-04-01T00:00:00.000+02:00,4809.051
